,Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
221,Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1409,PhD,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
616,Graduation,Single,30s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Web
2013,PhD,Widow,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
1040,2n Cycle,Divorced,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1011,Graduation,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1619,Graduation,Divorced,50s,Medium,Children,Wine,No Fruits,Meat,Sweets,Web
749,Master,Married,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2046,Graduation,Widow,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
933,2n Cycle,Married,20s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
126,PhD,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
675,PhD,Together,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1941,Graduation,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
105,PhD,Married,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
10,Basic,Married,30s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Store
2138,Graduation,Together,30s,High,Children,Wine,Fruits,No Meat,Sweets,Web
118,Master,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
316,PhD,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
552,PhD,Together,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
820,2n Cycle,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
363,Graduation,Single,40s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
574,Master,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1217,Graduation,Divorced,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
2112,Graduation,Married,40s,Medium,Children,Wine,Fruits,Meat,No Sweets,Web
1494,Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1353,Graduation,Single,30s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Web
2111,Master,Absurd,50s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
52,Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
1056,Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,No Sweets,Store
25,Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
747,2n Cycle,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1012,PhD,Married,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
1846,Graduation,Married,40s,High,Children,Wine,Fruits,Meat,Sweets,Web
1413,Master,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1939,Graduation,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
1076,PhD,Single,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
593,Graduation,Widow,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
724,Master,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
1022,Graduation,Single,30s,Medium,No Children,No Wine,Fruits,Meat,Sweets,Web
1840,Master,Together,30s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
452,PhD,Single,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
456,PhD,Together,40s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
467,Master,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
1792,PhD,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2018,Graduation,Together,60s,High,Children,Wine,Fruits,Meat,Sweets,Store
328,Graduation,Divorced,20s,Medium,No Children,No Wine,Fruits,No Meat,No Sweets,Store
392,Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
