Education,Marital_Status,Age_Group,Income_Class,Children,Wine_Preference,Fruit_Preference,Meat_Preference,Sweets_Preference,Purchase_Place
Graduation,Single,50s,Medium,No Children,Wine,Fruits,Meat,Sweets,Web
Graduation,Single,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Together,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Together,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
PhD,Married,30s,Medium,Children,Wine,Fruits,Meat,Sweets,Store
Master,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Divorced,40s,Medium,Children,Wine,Fruits,Meat,Sweets,Web
PhD,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
PhD,Together,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
PhD,Together,60s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
Basic,Married,30s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Store
Graduation,Divorced,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Master,Divorced,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
Graduation,Married,20s,Low,No Children,No Wine,Fruits,No Meat,No Sweets,Store
PhD,Single,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Married,30s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Web
Graduation,Together,60s,Medium,No Children,No Wine,No Fruits,No Meat,Sweets,Store
Master,Married,60s,High,Children,Wine,Fruits,Meat,Sweets,Web
2n Cycle,Single,20s,Medium,Children,No Wine,Fruits,No Meat,Sweets,Store
Graduation,Married,20s,Medium,No Children,No Wine,No Fruits,Meat,Sweets,Store
Graduation,Married,30s,Low,Children,No Wine,No Fruits,Meat,No Sweets,Web
PhD,Married,60s,Medium,Children,Wine,No Fruits,Meat,No Sweets,Store
PhD,Married,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
Graduation,Together,60s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
Graduation,Single,40s,Low,No Children,No Wine,No Fruits,No Meat,Sweets,Store
Graduation,Married,30s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,Sweets,Store
PhD,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Master,Divorced,20s,Low,No Children,No Wine,No Fruits,No Meat,No Sweets,Web
Master,Together,40s,Medium,No Children,Wine,Fruits,No Meat,Sweets,Store
Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
PhD,Divorced,50s,Medium,Children,No Wine,Fruits,Meat,Sweets,Store
Master,Married,60s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Master,Single,60s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
PhD,Married,40s,High,Children,Wine,Fruits,Meat,No Sweets,Store
2n Cycle,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
Graduation,Widow,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
PhD,Divorced,60s,Medium,No Children,Wine,No Fruits,Meat,Sweets,Web
Graduation,Married,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
Master,Married,20s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Together,50s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Master,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2n Cycle,Married,80s,Low,No Children,No Wine,Fruits,No Meat,Sweets,Web
Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Web
PhD,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Widow,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
Master,Married,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Divorced,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Married,30s,High,Children,Wine,No Fruits,Meat,Sweets,Store
Master,Together,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Divorced,40s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Single,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
PhD,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
Master,Single,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Together,30s,High,Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Single,50s,High,Children,Wine,No Fruits,Meat,Sweets,Store
PhD,Widow,60s,High,Children,Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Together,60s,High,No Children,Wine,Fruits,Meat,Sweets,Web
Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Together,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2n Cycle,Single,30s,High,Children,Wine,Fruits,Meat,Sweets,Web
Graduation,Together,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Together,40s,High,Children,Wine,Fruits,Meat,Sweets,Store
Master,Married,50s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Married,50s,High,Children,Wine,Fruits,Meat,Sweets,Store
PhD,Married,30s,High,Children,Wine,No Fruits,Meat,No Sweets,Web
Graduation,Married,50s,Medium,No Children,No Wine,No Fruits,No Meat,Sweets,Store
Graduation,Divorced,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Master,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Web
Graduation,Single,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
2n Cycle,Together,30s,Medium,No Children,No Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Together,40s,Medium,No Children,Wine,No Fruits,Meat,No Sweets,Web
Graduation,Single,20s,Medium,Children,No Wine,No Fruits,Meat,No Sweets,Store
Graduation,Married,40s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
2n Cycle,Married,30s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
Master,Together,40s,Medium,No Children,Wine,Fruits,No Meat,Sweets,Store
Graduation,Divorced,20s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Married,50s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Master,Married,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Single,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
Graduation,Married,30s,High,No Children,Wine,Fruits,Meat,Sweets,Store
Graduation,Together,40s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Store
Master,Single,30s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
PhD,Married,40s,Low,Children,No Wine,No Fruits,No Meat,No Sweets,Web
Graduation,Married,20s,Medium,Children,No Wine,No Fruits,No Meat,No Sweets,Store
Graduation,Widow,50s,Medium,Children,Wine,No Fruits,No Meat,No Sweets,Web
