Character,Sentence
harry,I think the Slytherin common room's this way.
hermione,It's so good to see you.
harry,Professor.
dumbledore,Our Care of Magical Creatures teacher has decided to retire in order to spend more time with his remaining limbs.
hermione,Not in the restricted section...
harry,"All right there, Ron?"
harry,But then I remembered that night on the train and the dementor.
harry,"Believed to be the work of Dark wizards or witches unknown Gringotts goblins while acknowledging the breach, insist nothing was taken."
hermione,"You hear this voice, a voice only you can hear..."
hermione,Of course! Here it is! 
harry,Yes.
hermione,"Ron, look!"
harry,First year's students will require three sets of plain work robes one wand.
hermione,All the teachers are.
snape,Go on.
hermione,"Of course, I've only tried a few simple ones myself but they've all worked for me."
hermione,You two better change into robes.
harry,Will I have to wear that too?
harry,"Yes, Aunt Petunia."
harry,"Ron, Ron, come on. Get out of bed!"
harry,Give me the lamp! Dobby stop!
dumbledore,Gryffindor wins the House Cup!
harry,Hermione! Where are you?!
harry,For me?
hermione,Are you sure that's a real spell?
harry,"Uh, Hagrid, what exactly is that?"
dumbledore,Another year gone. 
hermione,"Sir, we just learned about red caps and hinkypunks."
hermione,Harry?
hermione,"You will be able to, won't you?"
snape,"I assure you that were you in Slytherin, and your fate rested with me... "
hermione,"This is a Time-Turner, Harry."
hermione,Ron!
hermione,"Mind you, it would be difficult."
snape,the both of you would be on the train home tonight.
harry,Goodbye.
snape,Pity.
hermione,Is that...a dragon?
dumbledore,"Afterall, How could you?"
dumbledore,Many. Each as unlikely as the next.
hermione,It was standing on a trap door. 
hermione,No idea.
harry,Great. Now he's coming for us.
hermione, And with Dumbledore gone
harry,That explains the blood.
harry,He was innocent.
harry,Hermione?
harry,Nick got the full blast of it.
snape,"Good luck today, Potter. "
harry,No!
snape,Read it.
harry,Just knocked out. 
harry,My dad will come.
snape,"That's the second time you've spoken out of turn, Miss Granger."
harry,She died in a bathroom?
harry,Of course.
hermione,There must be 1000 keys up there!
hermione,"Enemies of the Heir, beware."
harry,"Who was it, Myrtle?"
hermione,You can talk to snakes.
dumbledore,Yes...and no. 
harry,I never touched Mrs. Norris.
hermione,This is Devil's Snare. 
harry,There's something you've got to see. 
hermione,They got in on pure talent.
hermione,"How fast is it, Harry?"
hermione,He's going to go the library for information on Nicholas Flamel.
harry,"Ron! Ron, wait!"
harry,I can't be.
harry,Fawkes?
harry,"Listen, last night, I'm guessing Snape let the troll in as a diversion so he could try and get past that 3 headed dog. "
harry,"You know, Hagrid. "
harry,What were you doing down there then?
hermione,"Of course! There are other things defending the Stone, aren't there?"
harry,There's the door.
hermione,"You! You foul, loathsome, evil little cockroach!"
harry,Didn't you hear it?
harry,"When he does, I'm gonna kill him!"
harry,Hang on. This is Hogwarts. And that…
harry,"They're not birds, they're keys. "
dumbledore,Yes.
hermione,"No! Even with a proper wand, it's too risky."
hermione,An Animagus is a wizard who elects to turn into an animal.
dumbledore,"First, I'm pleased to welcome Professor R.J. Lupin who's kindly consented to fill the post of Defense Against the Dark Arts teacher."
snape,Your moment has come at last.
harry,Never try to save my life again.
harry,"Hi, Colin. Nice to meet you."
harry,Floo powder?
dumbledore,"I understand, Tom, but I'm afraid Headmaster Dippet may have no choice."
harry,This way.
harry,What do I do with it?
dumbledore,It is not in the nature of a dementor to be forgiving.
harry,They're gonna kill him?
hermione,Harry. Hagrid.
harry,That someone made the dementors go away.
harry,And now we wait.
harry,I bet you she was using it to look around corners in case it came along.
hermione,This is bad.
harry,But I'm not.
harry,Hair!
harry,Yeah.
harry,I'm not hungry.
harry,Yeah. I've been beaten loads of times.
harry,"Stop it, Dobby!"
harry,I bet loads of people here can do it.
harry,You're wrong.
hermione,I don't like this. 
hermione,"And all this time, you've been his friend."
dumbledore,I believe we want our gamekeeper back.
harry,What happened?
harry,"Hello, can you hear me?"
harry,They think it's Hagrid.
harry,Once. But so what?
harry,What are you talking about?
dumbledore,And in the meantime I strongly recommend caution to all.
harry,What?
harry,Can I borrow this? Thanks.
harry,Come on.
dumbledore,"Now you, who have never known your family, you see them standing beside you. "
harry,Follow the spiders.
harry,It'll just be me and him.
harry,"You see, sir, I couldn't help but notice certain things, certain..."
harry,"Oh, umm..."
dumbledore,But the word of three 13-year-old wizards will convince few others.
hermione,I've already got mine.
snape,Mr. Potter.
harry,I know what he is.
dumbledore,I do not believe that Harry attacked anyone.
hermione,Harry.
harry,Crabbe and Goyle.
harry,Nicholas Flamel?
harry,Don't worry.
harry,"All those people back there, how is it they know who I am?"
harry,"Well, it is."
hermione,Which means it wasn't there by accident. 
harry,Your Bludger? You made that Bludger chase after me?
hermione,And then?
hermione,"Oh, move over! "
snape,Supposed to be your area of expertise.
harry,No. Not at all.
harry,Quickly. Hurry up. Okay?
hermione, What is it?
hermione,No. It's worse.
harry,"Oh, sorry sir. I’m Harry, sir, Harry Potter."
hermione,Egyptians used to worship cats.
harry,Does that make sense?
harry,Spare bit of parchment.
hermione,You go on without me.
dumbledore,Over there.
hermione,"Harry, wait! Not so fast!"
hermione,You're gonna need your strength today.
hermione,We're not meant to start that for weeks.
hermione,"Now, Ancient Runes, that's a fascinating subject."
snape,After you.
snape,Do I detect a flicker of fear?
hermione,The Polyjuice Potion.
dumbledore,"Determination, resourcefulness and if I may say so, a certain disregard for the rules."
harry,"No, sir."
snape,"Now, which one of you can tell me the difference between an Animagus and a werewolf?"
hermione,Bombarda!
hermione,It can't be Hagrid.
harry,"I mean, look at his family."
dumbledore,"I'm afraid they are, Tom."
harry,But then you must have some idea who's behind it all.
dumbledore,Hagriiid!! Relax.
dumbledore,And all the strawberries.
harry,It's moving.
harry,Malfoy.
harry,Stand there. There. 
hermione,"Crookshanks, just ignore the mean little boy."
hermione,It's guarding something.
hermione,"It's my fault, Professor McGonagall. "
harry,"Dumbledore and the others, I mean?"
harry,Whoa! Oh. Ahh!
harry,No. Nothing.
harry,He will come.
hermione, Dumbledore! 
harry,Sorry.
hermione,"No one blames you, Harry."
harry,"Maybe Ron's right, Hermione."
hermione,Follow me!
harry,"Now, come on!"
harry,Come with us now. Come on.
hermione,Broaden your minds. Use your Inner Eye to see the future.
hermione,"It's a bit strange, isn't it?"
hermione,I'd probably be dead.
harry,I found him!
hermione,A boy named Neville's lost one
harry,Where are we? A graveyard.
hermione,"But they'll catch Black, won't they?"
harry,"I was lost, I..."
snape,that's been on these grounds since before you were born.
harry,The Sorcerer's Stone.
harry,You can’t have met many decent wizards then.
harry,"Hey, give it back! It's mine!"
dumbledore,"Love, Harry, love. "
harry,What?
snape,"Malfoy, perhaps?"
harry,A woman screaming.
harry,Let's go!
snape,To enter Hogwarts Castle on one's own completely undetected?
harry,"Nothing. Nothing, I'm fine."
hermione,I know.
harry,Thanks.
hermione,"Oh, no. Okay, relax."
snape,"He, too, was exceedingly arrogant, strutting about the castle."
harry,It's just...
harry,"Yes, there is."
harry,Come on. We should be at Hagrid's.
harry,What's happening?
dumbledore,"It is not wise to be wandering around this late hour, Tom."
harry,Spiders flee before it.
harry,I've got presents?
harry,It's Quidditch tomorrow.
hermione,It just can't be.
hermione,I think you owe someone an apology.
harry,The whole lot of them have been in Slytherin for centuries.
harry,Mr. Weasley.
harry,It's great to see you too.
harry,It'll be fine. It'll be okay.
hermione,"Okay, bye."
harry,We have to move its paw.
harry,"Now, remember: Any sign of movement, close your eyes straightaway."
harry,He's going to sacrifice himself!
harry,I've won the house cup.
harry,And then again just...
hermione,A month.
harry,Malfoy. He called Hermione...
harry,"Yeah, sure."
harry,Look.
hermione,I've got it all worked out.
harry,I think so. 
dumbledore,Good luck.
harry,"You've got to help me, Tom."
hermione,Millicent Bulstrode. Slytherin.
harry,"Good night, professor."
hermione,I got this off her robes.
harry,What was that?
harry,Ron! You've got to see this! 
hermione,We've got to do something!
harry,What are you all doing here?
dumbledore,Fine. They're both just fine.
harry,What was that thing that came?
harry,"Messrs. Moony, Wormtail, Padfoot, and Prongs offer their compliments to Professor Snape and..."
hermione,Who's the one wizard Voldemort always feared?
harry,Who knows. 
hermione,Nobody else knows our password.
harry,This way.
dumbledore,"It's not really goodbye, after all."
harry,You're the reason they're dead!
harry,He'll conjure the Patronus.
hermione,"Now, once they're asleep hide them in the broomstick cupboard and pull out a few of their hairs and put on their uniforms."
dumbledore,He has enough Elixir to set his affairs in order. 
hermione,Of course.
hermione,Professor I was wondering if you could tell us about the Chamber of Secrets.
harry,"Hey, man."
snape,"It's said to be nearly unbearable to witness, but I'll do my best."
harry,"I’ll be in my bedroom, making no noise and pretending that I don’t exist."
dumbledore,Because Lord Voldemort can speak Parseltongue.
hermione,That's rich coming from the owner of that smelly old shoe brush.
dumbledore,The good and the bad.
hermione,I filled these with a simple Sleeping Draught.
harry,"What is it, Fang?"
harry,"If I didn't know better, Draco, I'd say you were scared."
harry,Buckbeak. Okay?
dumbledore,"Powerful and when meddled with, dangerous."
hermione,Add the hairs.
hermione,I'd read about them and thought I could handle it. 
harry,Really? I meant the match. Who won?
hermione,It means you'll never die.
harry,Voldemort transferred some of his powers to me?
harry,I don't think so. 
snape,"Then I suggest you take extra care, Mr. Potter."
harry,"After that, the dementors can have you."
dumbledore,Only this time he chose to act through somebody else by means of this.
harry,Hello. W-what did I do?
harry,Hagrid's my friend.
hermione,And you are...?
snape,Really? Open it.
hermione,Finite Incantatem!
harry,Ron. Ron.
hermione,Did you know?
dumbledore,"However, recent events must be taken into account. "
dumbledore,"For in dreams, we enter a world that's entirely our own."
dumbledore,"What happened down in the dungeons between you and Professor Quirrell is a complete secret, so, naturally, the whole school knows. "
hermione,Wingardium Leviosa.
hermione,He won't keep it. He'll turn it over to Professor McGonagall. Aren't you?
harry,It wasn't my dad I saw earlier. It was me!
harry,Apparently not.
harry,Phoenix tears have healing powers.
harry,"I swear, I don't know!"
hermione,"We're in the Shrieking Shack, aren't we?"
hermione,That's what's under the trapdoor...
harry,"The stranger, though, you and he must have talked."
harry,"Oh, brilliant."
harry,Do you...?
harry,Hagrid opened the Chamber of Secrets 50 years ago.
hermione,How can you be nearly headless?
harry,We still sound like ourselves.
harry,Did you hear about Hermione?
harry,Because I asked it to.
dumbledore,I award 10 points to Neville Longbottom.
harry,Professor I swear I didn't.
harry,What are you doing?
harry,I was sleepwalking.
snape,Do you have any idea how serious this is?
hermione," I've always heard Hogwarts' end of the year exams were frightful, but I found that rather enjoyable."
snape,How I hoped I'd be the one to catch you.
dumbledore,And about time too.
hermione,Help! Help!
harry,Hedwig.
snape,As it is...
hermione,Harry!
hermione,"Ouch, Ron. That was my foot."
snape,You may recall prior to the start of term I expressed concerns about your appointment of Professor...
harry,We need you.
harry,And who owned that wand?
harry,And why did you want to meet me?
hermione,Do what I say. Trust me. 
harry,Lumos... MAXIMA!
harry,I can't believe it's him but if he did set the monster loose last time he'll know how to get inside the Chamber of Secrets. That's a start.
harry,Any minute now.
harry,We were heading back to the common room when we found Mrs. Norris.
harry,Hagrid.
harry,"I knew I could do it this time because well, I had already done it."
harry,he Leaky Cauldron. That's in London.
harry,Fine. See you later.
harry,To ask you how you died.
harry,Mr. Weasley why would I go looking for someone who wants to kill me?
harry,Please be quiet! 
snape,Potter.
hermione,"Oh, are you doing magic?"
harry,Probably a right sight better than he normally does.
harry,Don't you see? We had it wrong. 
harry,You nearly got Ron and me expelled.
hermione,"Stop, stop, stop."
